Label,Treat,Origin.E,Destination.E,Changed.E,Changed.T,Direction.T,Direction,Flux,Stocks,T4,V4,SR,Temp.O,Temp.D,delta.T,E.Changed,Silt_clay,pH,TN
L-10-1,L,2400,2400,0,0,Stabilized,Non-inverted,3.274193333,2011.229686,15.25,1.353,6.188837338,13.6,13.6,0,24_0,25.12,6.51,0.076642329
L-10-2,L,2400,2400,0,0,Stabilized,Non-inverted,2.985786667,2011.229686,14.59333333,1.325,5.643694836,13.6,13.6,0,24_0,25.12,6.51,0.076642329
L-10-3,L,2400,2400,0,0,Stabilized,Non-inverted,1.509163333,2011.229686,15.54333333,1.239666667,2.852600759,13.6,13.6,0,24_0,25.12,6.51,0.076642329
L-10-4,L,2400,2400,0,0,Stabilized,Non-inverted,2.391626667,2011.229686,14.73,1.298,4.520621389,13.6,13.6,0,24_0,25.12,6.51,0.076642329
L-10-5,L,2400,2400,0,0,Stabilized,Non-inverted,1.379512,2011.229686,15.2325,1.33175,2.607535507,13.6,13.6,0,24_0,25.12,6.51,0.076642329
L-5-1,L,2400,2400,0,0,Stabilized,Non-inverted,1.79847,2011.229686,15.201,1.262416667,3.399444429,13.6,13.6,0,24_0,25.12,6.51,0.076642329
L-5-2,L,2400,2400,0,0,Stabilized,Non-inverted,1.680516667,2011.229686,15.22333333,1.326,3.176490584,13.6,13.6,0,24_0,25.12,6.51,0.076642329
L-5-3,L,2400,2400,0,0,Stabilized,Non-inverted,7.855436667,2011.229686,15.25666667,1.310333333,14.84824346,13.6,13.6,0,24_0,25.12,6.51,0.076642329
L-5-4,L,2400,2400,0,0,Stabilized,Non-inverted,2.58117,2011.229686,15,1.288333333,4.878893714,13.6,13.6,0,24_0,25.12,6.51,0.076642329
L-5-5,L,2400,2400,0,0,Stabilized,Non-inverted,1.920723333,2011.229686,15.50333333,1.310666667,3.630526078,13.6,13.6,0,24_0,25.12,6.51,0.076642329
LR-10-1,LR,2400,2400,0,0,Stabilized,Inverted,2.061733333,2011.229686,15.22666667,1.356333333,3.897061332,13.6,13.6,0,24_0,25.12,6.51,0.076642329
LR-10-2,LR,2400,2400,0,0,Stabilized,Inverted,0.661550667,2011.229686,15.42333333,1.337,1.250454402,13.6,13.6,0,24_0,25.12,6.51,0.076642329
