Label,Treat,Origin.E,Destination.E,Changed.E,Changed.T,Direction.T,Direction,Flux,Stocks,T4,SR,Temp.O,Temp.D,delta.T,Silt_clay,pH,TN
LM-5-3,LM,2400,3500,1100,-5.6,Cooling,Non-inverted,8.161542761,2011.229686,12.44333333,15.42684119,17.39,13.05,-4.34,25.12,6.51,0.076642329
LM-5-4,LM,2400,3500,1100,-5.6,Cooling,Non-inverted,3.752149798,2011.229686,11.17,7.092264385,17.39,13.05,-4.34,25.12,6.51,0.076642329
LM-5-5,LM,2400,3500,1100,-5.6,Cooling,Non-inverted,9.991750251,2011.229686,12.63666667,18.88627541,17.39,13.05,-4.34,25.12,6.51,0.076642329
LMR-10-1,LMR,2400,3500,1100,-5.6,Cooling,Inverted,4.138790698,2011.229686,12.58666667,7.823087948,17.39,13.05,-4.34,25.12,6.51,0.076642329
LMR-10-2,LMR,2400,3500,1100,-5.6,Cooling,Inverted,8.849818481,2011.229686,12.94333333,16.72781094,17.39,13.05,-4.34,25.12,6.51,0.076642329
LMR-10-3,LMR,2400,3500,1100,-5.6,Cooling,Inverted,4.330820732,2011.229686,12.96333333,8.186060602,17.39,13.05,-4.34,25.12,6.51,0.076642329
LMR-10-4,LMR,2400,3500,1100,-5.6,Cooling,Inverted,4.111654027,2011.229686,13.18,7.771794568,17.39,13.05,-4.34,25.12,6.51,0.076642329
LMR-10-5,LMR,2400,3500,1100,-5.6,Cooling,Inverted,3.829959063,2011.229686,14.14,7.239338438,17.39,13.05,-4.34,25.12,6.51,0.076642329
LMR-5-1,LMR,2400,3500,1100,-5.6,Cooling,Inverted,2.532723113,2011.229686,12.12666667,4.787320043,17.39,13.05,-4.34,25.12,6.51,0.076642329
LMR-5-2,LMR,2400,3500,1100,-5.6,Cooling,Inverted,1.23895882,2011.229686,12.31333333,2.341863729,17.39,13.05,-4.34,25.12,6.51,0.076642329
LMR-5-3,LMR,2400,3500,1100,-5.6,Cooling,Inverted,2.702515031,2011.229686,13.085,5.108258501,17.39,13.05,-4.34,25.12,6.51,0.076642329
LMR-5-4,LMR,2400,3500,1100,-5.6,Cooling,Inverted,2.05369258,2011.229686,13.67,3.881862806,17.39,13.05,-4.34,25.12,6.51,0.076642329
LMR-5-5,LMR,2400,3500,1100,-5.6,Cooling,Inverted,6.996527132,2011.229686,12.58333333,13.22474391,17.39,13.05,-4.34,25.12,6.51,0.076642329
LR-10-1,LR,2400,2400,0,0,Stabilized,Inverted,1.175091367,2011.229686,17.33,2.221142306,17.39,17.39,0,25.12,6.51,0.076642329
LR-10-2,LR,2400,2400,0,0,Stabilized,Inverted,2.135120331,2011.229686,21.0425,4.035776473,17.39,17.39,0,25.12,6.51,0.076642329
LR-10-3,LR,2400,2400,0,0,Stabilized,Inverted,2.82371656,2011.229686,20.31333333,5.337352043,17.39,17.39,0,25.12,6.51,0.076642329
LR-10-4,LR,2400,2400,0,0,Stabilized,Inverted,8.12303698,2011.229686,22.05,15.35405807,17.39,17.39,0,25.12,6.51,0.076642329
LR-10-5,LR,2400,2400,0,0,Stabilized,Inverted,3.646747609,2011.229686,21.46,6.893034549,17.39,17.39,0,25.12,6.51,0.076642329
LR-5-1,LR,2400,2400,0,0,Stabilized,Inverted,2.260138613,2011.229686,21.92,4.272084393,17.39,17.39,0,25.12,6.51,0.076642329
LR-5-2,LR,2400,2400,0,0,Stabilized,Inverted,3.233735715,2011.229686,21.045,6.112364877,17.39,17.39,0,25.12,6.51,0.076642329
LR-5-3,LR,2400,2400,0,0,Stabilized,Inverted,2.982383014,2011.229686,21.23,5.637261296,17.39,17.39,0,25.12,6.51,0.076642329
LR-5-4,LR,2400,2400,0,0,Stabilized,Inverted,6.496373984,2011.229686,21.0275,12.27936099,17.39,17.39,0,25.12,6.51,0.076642329
LR-5-5,LR,2400,2400,0,0,Stabilized,Inverted,2.829621235,2011.229686,19.56333333,5.348512982,17.39,17.39,0,25.12,6.51,0.076642329
M-10-1,M,3500,3500,0,0,Stabilized,Non-inverted,3.153398831,3029.141501,12.06333333,3.957544074,13.05,13.05,0,57.26,6.08,0.192581444
M-10-2,M,3500,3500,0,0,Stabilized,Non-inverted,6.579558258,3029.141501,12.00666667,8.257405163,13.05,13.05,0,57.26,6.08,0.192581444
M-10-3,M,3500,3500,0,0,Stabilized,Non-inverted,3.43574122,3029.141501,13.2,4.311886327,13.05,13.05,0,57.26,6.08,0.192581444
M-10-4,M,3500,3500,0,0,Stabilized,Non-inverted,11.39677115,3029.141501,10.84333333,14.30305094,13.05,13.05,0,57.26,6.08,0.192581444
M-10-5,M,3500,3500,0,0,Stabilized,Non-inverted,8.332321829,3029.141501,12.33,10.45713931,13.05,13.05,0,57.26,6.08,0.192581444
M-5-1,M,3500,3500,0,0,Stabilized,Non-inverted,3.957147057,3029.141501,11.91,4.966255372,13.05,13.05,0,57.26,6.08,0.192581444
M-5-2,M,3500,3500,0,0,Stabilized,Non-inverted,8.214898425,3029.141501,12.34,10.30977187,13.05,13.05,0,57.26,6.08,0.192581444
M-5-3,M,3500,3500,0,0,Stabilized,Non-inverted,4.647802828,3029.141501,11.42666667,5.833034615,13.05,13.05,0,57.26,6.08,0.192581444
M-5-4,M,3500,3500,0,0,Stabilized,Non-inverted,8.467128155,3029.141501,11.73666667,10.62632247,13.05,13.05,0,57.26,6.08,0.192581444
M-5-5,M,3500,3500,0,0,Stabilized,Non-inverted,6.011100775,3029.141501,12.73,7.543985878,13.05,13.05,0,57.26,6.08,0.192581444
MH-10-1,MH,3500,4600,1100,-5.5,Cooling,Non-inverted,6.049808322,3029.141501,8.34,7.592564201,13.05,7.6,-5.45,57.26,6.08,0.192581444
MH-10-2,MH,3500,4600,1100,-5.5,Cooling,Non-inverted,3.912881705,3029.141501,9.913333333,4.910701955,13.05,7.6,-5.45,57.26,6.08,0.192581444
MH-10-3,MH,3500,4600,1100,-5.5,Cooling,Non-inverted,0.896043259,3029.141501,10.95,1.1245424,13.05,7.6,-5.45,57.26,6.08,0.192581444
MH-10-4,MH,3500,4600,1100,-5.5,Cooling,Non-inverted,3.619577762,3029.141501,9.15,4.542602852,13.05,7.6,-5.45,57.26,6.08,0.192581444
MH-10-5,MH,3500,4600,1100,-5.5,Cooling,Non-inverted,3.472925791,3029.141501,9.546666667,4.3585533,13.05,7.6,-5.45,57.26,6.08,0.192581444
MH-5-1,MH,3500,4600,1100,-5.5,Cooling,Non-inverted,3.223536552,3029.141501,8.446666667,4.045567548,13.05,7.6,-5.45,57.26,6.08,0.192581444
MH-5-2,MH,3500,4600,1100,-5.5,Cooling,Non-inverted,2.62396374,3029.141501,9.725,3.293098242,13.05,7.6,-5.45,57.26,6.08,0.192581444
MH-5-3,MH,3500,4600,1100,-5.5,Cooling,Non-inverted,4.001264595,3029.141501,8.06,5.021623282,13.05,7.6,-5.45,57.26,6.08,0.192581444
MH-5-4,MH,3500,4600,1100,-5.5,Cooling,Non-inverted,3.034187863,3029.141501,7.823333333,3.80793323,13.05,7.6,-5.45,57.26,6.08,0.192581444
MH-5-5,MH,3500,4600,1100,-5.5,Cooling,Non-inverted,3.410022577,3029.141501,8.048476667,4.279609198,13.05,7.6,-5.45,57.26,6.08,0.192581444
MHR-10-1,MHR,3500,4600,1100,-5.5,Cooling,Inverted,4.613569116,3029.141501,9.465,5.790070998,13.05,7.6,-5.45,57.26,6.08,0.192581444
MHR-10-2,MHR,3500,4600,1100,-5.5,Cooling,Inverted,1.48545534,3029.141501,8.813333333,1.864259896,13.05,7.6,-5.45,57.26,6.08,0.192581444
MHR-10-3,MHR,3500,4600,1100,-5.5,Cooling,Inverted,1.533081981,3029.141501,8.12,1.924031762,13.05,7.6,-5.45,57.26,6.08,0.192581444
