Label,Treat,Origin.E,Destination.E,Changed.E,Changed.T,Direction.T,Direction,Flux,Stocks,T4,SR,E.Changed,Temp.O,Temp.D,delta.T,Silt_clay,pH,TN
LMR-5-3,LMR,2400,3500,1100,-5.6,Cooling,Inverted,1.2524295,2011.229686,13.085,2.367325831,1100,17.86,13,-4.86,25.12,6.51,0.076642329
LMR-5-4,LMR,2400,3500,1100,-5.6,Cooling,Inverted,4.3378,2011.229686,13.67,8.199252723,1100,17.86,13,-4.86,25.12,6.51,0.076642329
LMR-5-5,LMR,2400,3500,1100,-5.6,Cooling,Inverted,2.70659,2011.229686,12.58333333,5.115960954,1100,17.86,13,-4.86,25.12,6.51,0.076642329
LH-10-1,LH,2400,4600,2200,-11.1,Cooling,Non-inverted,5.37764,2011.229686,9.06,10.16474467,2200,17.86,7.66,-10.2,25.12,6.51,0.076642329
LH-10-2,LH,2400,4600,2200,-11.1,Cooling,Non-inverted,3.166885,2011.229686,9.22,5.986004532,2200,17.86,7.66,-10.2,25.12,6.51,0.076642329
LH-10-3,LH,2400,4600,2200,-11.1,Cooling,Non-inverted,3.339808,2011.229686,9.02,6.312861321,2200,17.86,7.66,-10.2,25.12,6.51,0.076642329
LH-10-4,LH,2400,4600,2200,-11.1,Cooling,Non-inverted,4.735203333,2011.229686,9.67,8.950419297,2200,17.86,7.66,-10.2,25.12,6.51,0.076642329
LH-10-5,LH,2400,4600,2200,-11.1,Cooling,Non-inverted,3.019805333,2011.229686,8.783333333,5.707996474,2200,17.86,7.66,-10.2,25.12,6.51,0.076642329
LH-5-1,LH,2400,4600,2200,-11.1,Cooling,Non-inverted,5.851665,2011.229686,10.37,11.06074051,2200,17.86,7.66,-10.2,25.12,6.51,0.076642329
LH-5-2,LH,2400,4600,2200,-11.1,Cooling,Non-inverted,1.666133333,2011.229686,8.773333333,3.149303396,2200,17.86,7.66,-10.2,25.12,6.51,0.076642329
LH-5-3,LH,2400,4600,2200,-11.1,Cooling,Non-inverted,6.5296,2011.229686,11.045,12.34216436,2200,17.86,7.66,-10.2,25.12,6.51,0.076642329
LH-5-4,LH,2400,4600,2200,-11.1,Cooling,Non-inverted,2.42268,2011.229686,10.35,4.579317992,2200,17.86,7.66,-10.2,25.12,6.51,0.076642329
LH-5-5,LH,2400,4600,2200,-11.1,Cooling,Non-inverted,1.986862333,2011.229686,8.623333333,3.755541149,2200,17.86,7.66,-10.2,25.12,6.51,0.076642329
LHR-10-1,LHR,2400,4600,2200,-11.1,Cooling,Inverted,5.212167667,2011.229686,8.816666667,9.85197103,2200,17.86,7.66,-10.2,25.12,6.51,0.076642329
LHR-10-2,LHR,2400,4600,2200,-11.1,Cooling,Inverted,1.754755,2011.229686,9.98,3.316814909,2200,17.86,7.66,-10.2,25.12,6.51,0.076642329
LHR-10-3,LHR,2400,4600,2200,-11.1,Cooling,Inverted,1.012651333,2011.229686,8.663333333,1.914100282,2200,17.86,7.66,-10.2,25.12,6.51,0.076642329
LHR-10-4,LHR,2400,4600,2200,-11.1,Cooling,Inverted,2.50696,2011.229686,9.15,4.738622944,2200,17.86,7.66,-10.2,25.12,6.51,0.076642329
LHR-10-5,LHR,2400,4600,2200,-11.1,Cooling,Inverted,1.870146667,2011.229686,8.38,3.534926725,2200,17.86,7.66,-10.2,25.12,6.51,0.076642329
LHR-5-1,LHR,2400,4600,2200,-11.1,Cooling,Inverted,1.889436667,2011.229686,9.57,3.571388431,2200,17.86,7.66,-10.2,25.12,6.51,0.076642329
LHR-5-2,LHR,2400,4600,2200,-11.1,Cooling,Inverted,7.541733333,2011.229686,9.856666667,14.25528553,2200,17.86,7.66,-10.2,25.12,6.51,0.076642329
LHR-5-3,LHR,2400,4600,2200,-11.1,Cooling,Inverted,1.92341,2011.229686,9.123333333,3.63560438,2200,17.86,7.66,-10.2,25.12,6.51,0.076642329
LHR-5-4,LHR,2400,4600,2200,-11.1,Cooling,Inverted,1.373153333,2011.229686,10.27666667,2.595516439,2200,17.86,7.66,-10.2,25.12,6.51,0.076642329
LHR-5-5,LHR,2400,4600,2200,-11.1,Cooling,Inverted,2.125607,2011.229686,8.76,4.0177945,2200,17.86,7.66,-10.2,25.12,6.51,0.076642329
ML-10-1,ML,3500,2400,-1100,5.6,Warming,Non-inverted,5.00882,3029.141501,21.54666667,6.286114434,-1100,13,17.86,4.86,57.26,6.08,0.192581444
ML-10-2,ML,3500,2400,-1100,5.6,Warming,Non-inverted,4.13731,3029.141501,21.47666667,5.192361496,-1100,13,17.86,4.86,57.26,6.08,0.192581444
ML-10-3,ML,3500,2400,-1100,5.6,Warming,Non-inverted,4.477663333,3029.141501,20.98,5.61950801,-1100,13,17.86,4.86,57.26,6.08,0.192581444
ML-10-4,ML,3500,2400,-1100,5.6,Warming,Non-inverted,4.12403,3029.141501,19.975,5.175694976,-1100,13,17.86,4.86,57.26,6.08,0.192581444
ML-10-5,ML,3500,2400,-1100,5.6,Warming,Non-inverted,3.08943,3029.141501,19.03,3.877262612,-1100,13,17.86,4.86,57.26,6.08,0.192581444
ML-5-1,ML,3500,2400,-1100,5.6,Warming,Non-inverted,2.895001,3029.141501,19.9575,3.633252457,-1100,13,17.86,4.86,57.26,6.08,0.192581444
ML-5-2,ML,3500,2400,-1100,5.6,Warming,Non-inverted,5.122836667,3029.141501,21.87,6.429206383,-1100,13,17.86,4.86,57.26,6.08,0.192581444
