Label,Treat,Origin.E,Destination.E,Changed.E,Changed.T,Direction.T,Direction,Flux,Stocks,T4,V4,SR,Temp.O,Temp.D,delta.T,E.Changed,Silt_clay,pH,TN
L-10-1,L,2400,2400,0,0,Stabilized,Non-inverted,14.31015,2011.229686,22.25,1.403,27.04885803,20.74,20.74,0,24_0,25.12,6.51,0.076642329
L-10-2,L,2400,2400,0,0,Stabilized,Non-inverted,18.97163333,2011.229686,25.32666667,1.323333333,35.85993275,20.74,20.74,0,24_0,25.12,6.51,0.076642329
L-10-3,L,2400,2400,0,0,Stabilized,Non-inverted,10.58766333,2011.229686,24.11,1.322,20.01266251,20.74,20.74,0,24_0,25.12,6.51,0.076642329
L-10-4,L,2400,2400,0,0,Stabilized,Non-inverted,8.1038,2011.229686,23.92666667,1.318333333,15.31769658,20.74,20.74,0,24_0,25.12,6.51,0.076642329
L-10-5,L,2400,2400,0,0,Stabilized,Non-inverted,5.851436667,2011.229686,23.07666667,1.344,11.06030892,20.74,20.74,0,24_0,25.12,6.51,0.076642329
L-5-1,L,2400,2400,0,0,Stabilized,Non-inverted,5.799076667,2011.229686,23.09,1.361666667,10.96133873,20.74,20.74,0,24_0,25.12,6.51,0.076642329
L-5-2,L,2400,2400,0,0,Stabilized,Non-inverted,4.553373333,2011.229686,24.12666667,1.317333333,8.606726613,20.74,20.74,0,24_0,25.12,6.51,0.076642329
L-5-3,L,2400,2400,0,0,Stabilized,Non-inverted,17.9072,2011.229686,22.965,1.4245,33.84795481,20.74,20.74,0,24_0,25.12,6.51,0.076642329
L-5-4,L,2400,2400,0,0,Stabilized,Non-inverted,19.7306,2011.229686,29.51,1.255,37.2945216,20.74,20.74,0,24_0,25.12,6.51,0.076642329
L-5-5,L,2400,2400,0,0,Stabilized,Non-inverted,11.04946333,2011.229686,24.24333333,1.189,20.88555082,20.74,20.74,0,24_0,25.12,6.51,0.076642329
LR-10-1,LR,2400,2400,0,0,Stabilized,Inverted,3.723626667,2011.229686,22.95666667,1.253333333,7.038350336,20.74,20.74,0,24_0,25.12,6.51,0.076642329
LR-10-2,LR,2400,2400,0,0,Stabilized,Inverted,5.573713333,2011.229686,22.40333333,1.478,10.53535991,20.74,20.74,0,24_0,25.12,6.51,0.076642329
LR-10-3,LR,2400,2400,0,0,Stabilized,Inverted,9.392083333,2011.229686,24.47333333,1.383666667,17.75279286,20.74,20.74,0,24_0,25.12,6.51,0.076642329
LR-10-4,LR,2400,2400,0,0,Stabilized,Inverted,13.23466667,2011.229686,25.93,1.331666667,25.01599352,20.74,20.74,0,24_0,25.12,6.51,0.076642329
LR-10-5,LR,2400,2400,0,0,Stabilized,Inverted,4.277333333,2011.229686,23.56,1.385,8.084959422,20.74,20.74,0,24_0,25.12,6.51,0.076642329
LR-5-1,LR,2400,2400,0,0,Stabilized,Inverted,3.16099,2011.229686,22.95333333,1.310333333,5.974861881,20.74,20.74,0,24_0,25.12,6.51,0.076642329
LR-5-2,LR,2400,2400,0,0,Stabilized,Inverted,7.56195,2011.229686,23.56,1.351,14.29349881,20.74,20.74,0,24_0,25.12,6.51,0.076642329
LR-5-3,LR,2400,2400,0,0,Stabilized,Inverted,3.56097,2011.229686,24.00666667,1.285,6.730898836,20.74,20.74,0,24_0,25.12,6.51,0.076642329
LR-5-4,LR,2400,2400,0,0,Stabilized,Inverted,6.514813333,2011.229686,23.07333333,1.39,12.3142148,20.74,20.74,0,24_0,25.12,6.51,0.076642329
LR-5-5,LR,2400,2400,0,0,Stabilized,Inverted,5.658903333,2011.229686,23.04,1.383,10.69638493,20.74,20.74,0,24_0,25.12,6.51,0.076642329
LM-10-1,LM,2400,3500,1100,-5.6,Cooling,Non-inverted,2.96188,2011.229686,17.17,1.908,5.598506767,20.74,16.97,-3.77,1100,25.12,6.51,0.076642329
LM-10-2,LM,2400,3500,1100,-5.6,Cooling,Non-inverted,9.931216667,2011.229686,17.37666667,1.635666667,18.77185562,20.74,16.97,-3.77,1100,25.12,6.51,0.076642329
LM-10-3,LM,2400,3500,1100,-5.6,Cooling,Non-inverted,3.061176667,2011.229686,17.62333333,1.573666667,5.786196026,20.74,16.97,-3.77,1100,25.12,6.51,0.076642329
LM-10-4,LM,2400,3500,1100,-5.6,Cooling,Non-inverted,7.15484,2011.229686,17.67,1.436,13.52398482,20.74,16.97,-3.77,1100,25.12,6.51,0.076642329
LM-10-5,LM,2400,3500,1100,-5.6,Cooling,Non-inverted,8.210803333,2011.229686,17.89666667,1.794,15.51995288,20.74,16.97,-3.77,1100,25.12,6.51,0.076642329
